Reference,Track_1,Track_2,Track_3,Track_4,Characteristic_1,Fluid_Fraction
316.8476341,349.04519,89.279954,0.2696659,19.04986,0.0000376,0.783
316.7375394,352.48089,95.623572,0.2452505,18.44313,0.0000376,0.783
316.6211356,355.5584,98.238359,0.240397391,17.6520418,0.0000376,0.783
316.4993691,358.8479,98.267599,0.27652999,17.3459721,0.000472203,0.783
316.3722397,355.59495,96.231764,0.33886236,17.4443647,0.0000376,0.783
316.218612,356.4356,93.351624,0.440271797,17.6442932,0.0000376,0.783
316.0643533,341.3039,89.81066,0.555434999,17.850289,0.0000376,0.783
315.911041,351.9765,85.604486,0.669794832,18.0397642,0.0000376,0.783
315.7574132,364.90058,81.84276,0.79695082,18.14342,0.004736547,0.783
315.5618297,430.20812,80.70971,0.95098714,17.9740473,0.043116296,0.050143946
315.3611987,484.61645,83.747015,1.12475315,17.4329611,0.067191952,0.03132
315.1719243,523.94425,89.50364,1.30277358,16.9978699,0.081481456,0.03132
315.0205047,560.64776,92.134509,1.41240165,16.65218,0.093008488,0.03132
314.8687697,566.72968,92.774134,1.41713122,16.5669454,0.09477456,0.03132
314.7227129,554.54391,97.980316,1.40292789,16.63756,0.091197296,0.03132
314.5810726,540.94,104.989144,1.3784467,16.780105,0.087013544,0.03132
314.4391167,526.38579,116.354001,1.35254737,16.9300331,0.082298128,0.03132
314.2324921,516.64887,133.603408,1.33419927,17.04692,0.078994968,0.03132
314.0189274,516.68542,150.941997,1.33237177,17.12002,0.079007752,0.03132
313.8148265,523.92963,171.972136,1.35559564,17.12002,0.081476568,0.03132
313.670347,540.7938,185.641105,1.41452886,17.06885,0.086967296,0.03132
313.5258675,550.92546,197.456258,1.46615939,16.9592,0.09010464,0.03132
313.3864353,549.17106,205.340093,1.465655,16.95189,0.089569592,0.03132
313.255836,537.32155,211.308708,1.36495244,17.2545971,0.085864864,0.03132
313.1252366,506.22481,209.038222,1.24349679,17.5439269,0.075318064,0.03132
312.985489,463.99494,190.700356,1.10548399,18.0090622,0.058731576,0.048302409
312.8394322,439.85001,165.287872,0.98925499,18.4503669,0.047817048,0.050153734
312.6936909,432.3865,141.218966,0.94564353,18.52354,0.044196544,0.051528134
312.4911672,434.91576,126.584346,0.97817303,18.4074572,0.045437344,0.050682494
312.2788644,447.31352,116.678565,1.03907995,18.2913744,0.051316856,0.045091247
312.0735016,460.92474,112.203383,1.08208468,18.1657886,0.057407304,0.040867197
311.9435331,472.78156,106.961382,1.13250906,18.021343,0.062426904,0.03792578
